fullname	id	prev_id	alt_names		comment
Brandsma, T.	0000000066329627	0000000066329627	Brandsma, Anno Sjoerd;Brandsma, Anno Sjoerd Titus;Brandsma, Titus;Brandsma, Titus (b);Brandsma, Titus (father);Sjoerd, Anno;Tito Brandsma (b);Tito Brandsma (Beato);Tito Brandsma (sacerdote olandese);Titus Brandisma;Tytus Brandsma;Тит Брандсма	VIAF ID: 32302512 (J. van Lennep), ISNI: 0000000121269699 (J. van Lennep); VIAF ID: 288773856 (D. van Hogendorp), ISNI: 000000039431992X (D. van Hogendorp)	
Breusers, M.	0000000036554145	0000000036554145	Breusers, M.Breusers, Mark	VIAF ID: 56666862 (C. Aurelius), ISNI: 000000012134170X (C. Aurelius)	
Brinkman, G.	0000000019415418	0000000019415418	Brinkman, G.;Brinkman, Gerrit	VIAF ID: 266388515 (H.E. Niemeijer), ISNI: 0000000382893625 (H.E. Niemeijer); VIAF ID: 31091214 (T. van den End), ISNI: 0000000063748033 (T. van den End)	
Brinkman, H.	0000000035064670	0000000035064670	Brinkman, H.;Brinkman, Herman	VIAF ID: 69772142 (A.W. Byvanck); ISNI: 0000000066351189 (A.W. Byvanck)	
Broeke, F. ten	viaf:311826097	viaf:311826097	Broeke, Frederiek ten;Broeke, F. ten	VIAF ID: 216217778 (H.T. Colenbrander), ISNI: 0000000359153354 (H.T. Colenbrander)	
Brom, G.	0000000083395909	0000000083395909	Brom, G.;Brom, Gijsbertus;Brom, Gisb;Brom, Gisbert;Brom, Gisbert (sac);Brom, Gisbertus;Gisbert Brom	VIAF ID: 31091214 (T. van den End), ISNI: 0000000063748033 (T. van den End); VIAF ID: 71718121 (C.G.F. de Jong), ISNI: 0000000034357949 (C.G.F. de Jong); VIAF ID: 48421048 (H. Reenders), ISNI: 0000000041340926 (H. Reenders); VIAF ID: 56132490 (M. van Selm), ISNI: 0000000038853982 (M. van Selm)	
Brood, P.	0000000078354600	0000000078354600	Brood, P.;Brood, Paul;Brood, Paulus;DR. P. Brood	VIAF ID: 19801500 (W. Fritschy), ISNI: 0000000020570415 (W. Fritschy); VIAF ID: 280713655 (L. van Ent); VIAF ID: 76535676 (V. Enthoven), ISNI: 0000000080037567 (V. Enthoven); VIAF ID: 218583779 (R. Liesker); VIAF ID: 88219538 (S.W. Verstegen), ISNI: 0000000078451136 (S.W. Verstegen); VIAF ID: 224444817 (C. Trompetter), ISNI: 0000000362224045 (C. Trompetter); VIAF ID: 121976479 (W. Veenstra), ISNI: 0000000080494178 (W. Veenstra)	
Bruch, H.	0000000066312171	0000000066312171	Bruch, H.;Bruch, Hettel	VIAF ID: 261659215 (J.A.M.Y. Bos-Rops), ISNI: 0000000116088471 (J.A.M.Y. Bos-Rops); VIAF ID: 216892101 (J.G. Smit), ISNI: 0000000066308199 (J.G. Smit); VIAF ID: 226765160 (E.T. van der Vlist), ISNI: 000000036275998X (E.T. van der Vlist)	
Brugmans, H.	0000000109598617	0000000109598617	Brugmanns, Hajo;Brugmans;Brugmans, Dr. H.;Brugmans, H.;Brugmans, Hajo;Hajo Brugmans	VIAF ID: 37862225 (J.A. van der Goes), ISNI: 000000005304039X (J.A. van der Goes)	
Brugmans, I.J.	0000000110326520	0000000110326520	Brugmans, I. J.Brugmans, I.J.B.Brugmans, IebBrugmans, IsaÃ¤k J.Brugmans, IzaÃ¤kBrugmans, IzaÃ¤k JohannesBrugmans, IzaÃ¤k Johannes (Auteur.)Ieb BrugmansIeb Brugmans (Dutch historian)Ieb Brugmans (Nederlands historicus)	VIAF ID: 69085364 (J. van Oldenbarnevelt), ISNI: 000000006655113X (J. van Oldenbarnevelt)	
Bruijn, J.R.	0000000107833732	0000000107833732	Bruijn, J. R.Bruijn, JaapBruijn, Jaap R.Bruijn, Jaap RuurdBruijn, Jacobus R.Bruijn, Jacobus RuurdBruin, J.R.Bruyn, J.R.Jaap R. Bruijn (maritime historian)Jaap R. Bruijn (Nederlands historicus)Jacobus Ruurd Bruijn	VIAF ID: 72190082 (G.K. van Hogendorp), ISNI: 0000000113853748 (G.K. van Hogendorp)	
Bruijn, P.G. de	0000000108356886	0000000108356886	Bruijn, P. G. de;Bruijn, Peter de;Bruijn, Peter G. de;Bruijn, Peter Guido;Bruijn, Peter Guido de;De Bruijn, Peter;De Bruijn, Peter Guido	VIAF ID: 71407675 (L. van Deyssel), ISNI: 000000012028212X (L. van Deyssel)	
Buijs, J.	0000000000BuijsJ	0000000000BuijsJ	Buijs, J. (Jolanda Buijs transcribeert voor huygens vanaf 2010 de Clerq dagboek)	VIAF ID: 106969992 (N. Witsen), ISNI: 0000000107875991 (N. Witsen)	Bestaat misschien niet
Buis, F.C.	0000000368794137	0000000368794137	Buis, Fjodor C.;Buis, Fjodor Cyriel;Buis, F.C.	VIAF ID: 216217778 (H.T. Colenbrander), ISNI: 0000000359153354 (H.T. Colenbrander)	
Buisman, J.W.	000000000890497X	000000000890497X	Buisman, J. W.Buisman, Jan WillemBuisman, Jan Wim	VIAF ID: 15138679 (P. van Dam), ISNI: 0000000080948408 (P. van Dam); VIAF ID: 62373524 (F.W. Stapel), ISNI: 0000000081422870 (F.W. Stapel); VIAF ID: 137738939 (C.W.Th. van Boetzelaer van Asperen en Dubbeldam), ISNI: 0000000093744375 (C.W.Th. van Boetzelaer van Asperen en Dubbeldam)	
Burger Jr., C.P.	0000000078219222	0000000078219222	Burger, C. P.;Burger, C. P. (Jr);Burger, Cambertus Pieter;Burger, Combertus P.;Burger, Combertus P. (Junior);Burger, Combertus Petrus;Burger, Combertus Petrus Jr;Burger, Combertus Petrus (Junior);Burger, Combertus Pieter;Burger, Combertus Pieter (Jr);Burger, Conberta Pieter	VIAF ID: 17590735 (G. Brom), ISNI: 0000000083395909 (G. Brom); VIAF ID: 394950 (A.H.L. Hensen), ISNI: 0000000078197190 (A.H.L. Hensen)	
Burgers, J.W.J.	0000000109264043	0000000109264043	Burgers, J. W. J.;Burgers, Jan;Burgers, Jan W. J.;Burgers, Johannes W. J.;Burgers, Johannes Willem Jozef	VIAF ID: 198491404 (J.D.M. Cornelissen), ISNI: 0000000140561505 (J.D.M. Cornelissen); VIAF ID: 17590735 (G. Brom), ISNI: 0000000083395909 (G. Brom); VIAF ID: 394950 (A.H.L. Hensen), ISNI: 0000000078197190 (A.H.L. Hensen)	
Bussemaker, Th.	0000000062650114	0000000062650114	Bussemaker, C. H. ThBussemaker, CarelBussemaker, Carel H.Bussemaker, Carel Hendrik TheodoorBussemaker, Carolus Hendricus TheodorusBussemaker, ThBussemaker, TheodoorCarel Hendrik Theodoor BussemakerCarel Hendrik Theodoor Bussemaker (Dutch historian and university professor)Carel Hendrik Theodoor Bussemaker (Nederlands historicus (1864-1914))	VIAF ID: 64039420 (P. Polman), ISNI: 0000000081430723 (P. Polman); VIAF ID: 12485460 (P.J. van Kessel), ISNI: 0000 0000 8091 9930 (P.J. van Kessel); VIAF ID: 44293717 (J.P. de Valk), ISNI: 0000 0000 9474 0587 (J.P. de Valk)	
Byvanck, A.W.	0000000066351189	0000000066351189	Alexander Willem Byvanck (Dutch archaeologist);Alexander Willem Byvanck (Nederlands kunsthistoricus (1884-1970));Alexander Willem Byvanck (niederlÃ¤ndischer Klassischer und ProvinzialrÃ¶mischer ArchÃ¤ologe);Bijvanck, A. W.;Bijvanck, Alexander W.;Bijvanck, Alexander Willem;Bijvanck, Alexander Willem  Lebensjahre;Byvanck, A. W.;Byvanck, Alexander;Byvanck, Alexander W.;Byvanck, Alexander Willelm;Byvanck, Alexander Willem,;Byvanck, Alexandro Guilielmo;Pagina;	VIAF ID: 89449407 (Andries Vierlingh), ISNI: 000000006279744X (Andries Vierlingh); VIAF ID: 92588576 (J. de Hullu), ISNI: 0000000065647033 (J. de Hullu); VIAF ID: 212509530 (A.G. Verhoeven), ISNI: 0000000392626934 (A.G. Verhoeven)	
Camps, H.P.H.	0000000034283302	0000000034283302	Camps, H.;Camps, H. P. H.;Camps, Hen;Camps, Henricus Petrus Hubertus;	VIAF ID: 76591749 (M. Hogenbirk), ISNI: 0000000045006415 (M. Hogenbirk)	
Cats, J.	0000000108833136	0000000108833136	Cats, J.;Cats, Jacob;Cats, Jacobus;Cats, Jakob	VIAF ID: 58993849 (P. de Buck), ISNI: 000000004962291X (P. de Buck); VIAF ID: 7278161211613440070003 (S. Kerkvliet); VIAF ID: 116190606 (M. van Tielhof), ISNI: 0000000114556251 (M. van Tielhof)	
Chijs, P.O. van der	0000000397383580	0000000397383580	Chijs, P. O. van der;Chijs, Peter Otto van der;Chijs, Pieter Otto;Chijs, Pieter Otto van der;Chys, Peter Otto van;Chys, Peter Otto van der;Chys, Petrus Otto van der;Chys, Petrus Ottonus van der;DerChys, Peter Otto van;Pieter Otto van der Chijs;Pieter Otto van der Chijs (collezionista e numismatico olandese);Pieter Otto van der Chijs (Dutch coin collector and expert);Pieter Otto van der Chijs (Nederlands numismatist (1802-1867));VanDerChys, Peter Otto;VanDerChys, Petrus Otto;VanDerChys, Pieter Otto;		
Christiaans, P.A.	0000000385653440	0000000385653440	Christiaans, P. A.;Christiaans, Peter;Christiaans, Peter A.	VIAF ID: 283815706 (V. de Boer), ISNI: 0000000390244799 (V. de Boer); VIAF ID: 18907498 (R. Hoekstra), ISNI: 0000000116029463 (R. Hoekstra)	
Clercq, W. de	0000000063017927	0000000063017927	Clercq, Willem de;Clerq, Willem de;de Clercq, W. A.;De Clercq, Willem;Willem de Clercq	VIAF ID: 70009274 (J.R. Bruijn), ISNI: 0000000107833732 (J.R. Bruijn); VIAF ID: 4943112 (F.S. Gaastra), ISNI: 0000000110202771 (F.S. Gaastra); VIAF ID: 94861524 (I. Schöffer), ISNI: 0000000110314159 (I. Schöffer)	
Clercq, W.A. de	0000000030060865	0000000030060865	Clercq, W. A. de;De Clercq, W. A.	VIAF ID: 2598099 (J. Roelevink), ISNI: 0000000061302599 (J. Roelevink); VIAF ID: 71679830 (R.G.H. Sluijter), ISNI: 000000005959975X (R.G.H. Sluijter); VIAF ID: 61848525 (K.J.P.F.M.Jeurgens), ISNI: 0000000044482903 (K.J.P.F.M.Jeurgens); VIAF ID: 283038500 (A. Verheusden), ISNI: 0000000389606457 (A. Verheusden); VIAF ID: 70202901 (P.Th.F.M. Boekholt), ISNI: 0000000021837169 (P.Th.F.M. Boekholt)	
Cloet, M.	0000000115681222	0000000000CloetM	Cloet, M.;Cloet, Michel;Cloet, Michel (doctor in de geschiedenis);Michel Cloet;Michel Cloet (hoogleraar uit België)		!!!
Cohen, D.	0000000109150580	0000000000CohenD	Cohen, D.	VIAF ID: 112472283 (J.Th. de Smidt), ISNI: 0000000083097135 (J.Th. de Smidt); VIAF ID: 33719127 (T. van der Lee), ISNI: 000000003553277X (T. van der Lee); VIAF ID: 197168227 (H.J.M. van Dapperen)	!!!
Colenbrander, H.T.	0000000359153354	00ColenbranderHT	Colenbrander, H. T.;Colenbrander, H.Th;Colenbrander, Herman Theodoor;Colenbrander, Herman Theodor;Colenbrander, Herman Theodorus;Herman Theodoor Colenbrander;Herman Theodoor Colenbrander (Dutch historian);Herman Theodoor Colenbrander (Nederlands archivaris (1871-1945))	VIAF ID: 27324928 (R. de Jong), ISNI: 0000000058870341 (R. de Jong)	!!!
Coolhaas, W.Ph.	0000000108985033	0000000108985033	Coolhaas, W. Ph;Coolhaas, W. Philippus;Coolhaas, Willem P.;Coolhaas, Willem Philippus,;W.Ph. Coolhaas (Nederlands historicus (1899-1981));Willem Philippus Coolhaas;	VIAF ID: 66643829 (F. Capaccine), ISNI: 0000000061294381 (F. Capacinni)	
Cornelissen, J.D.M.	0000000140561505	0000000140561505	Cornelissen, J. D. M.;Cornelissen, Joannes D.;Cornelissen, Joannes D. M.;Cornelissen, Joannes Domenicus Maria;Cornelissen, Joannes Dominicus Maria;	VIAF ID: 817419 (P.J. Blok), ISNI: 0000000120196336 (P.J. Blok)	
Aurelius, C.	000000012134170X	000000012134170X	Aurelius, C.;Aurelius, Cornelis;Aurelius, Cornelius;Aurelius, Cornelius Gerardi;Aurotinus;Cornelis (Aurelius);Cornelis (Gaudanus);Cornelis (Merotinus);Cornelis (van Lopsen);Cornelis (van ter Goude);Cornelius (Aurelius);Cornelius Aurelius (Dutch priest);Cornelius Aurelius (Nederlands priester (1460-1531));Cornelius Aurelius (Ð¾Ðº.1460 - 1531);Cornelius (de Gouda);Cornelius (Gaudanus);Cornelius (Gerardi);Cornelius Gerardi Goudanus;Cornelius (Goudanus);Gaudanus, Cornelius;Gerard, Cornelis;Geritszn, Cornelis;Gherytszn, Cornelis;Gouda, Cornelis Gerritsz van;Gouda, Cornelis Gerritszn van;Gouda, Cornelius de;Lopsen, Cornelius van;	VIAF ID: 89369462 (T. Plott), ISNI: 0000000061743095 (T. Plott); VIAF ID: 235768779 (T. Chudleigh), ISNI: 0000000391551328 (T. Chudleigh)	
Craeybeckx, J.	0000000081538953	0000000081538953	Craeybeckx, J.;Craeybeckx, Jan;Craeybeckx, Jan (Prof. dr);	VIAF ID: 20047953 (G. von Antal), ISNI: 0000000080765441 (G. von Antal); VIAF I:D 69310983 (J.C.H. de Pater), ISNI: 0000000061546905 (J.C.H. de Pater)	
Daisne, J.	0000000120216704	0000000120216704	Daisne (Herman Thierry);Daisne (Johan);Daisne, Johan (Dichter, prozaÃ¯st en schrijver van toneelstukken, hoorspelen en essays);DÄn, Iogan;DÌ²esn, Giochan;Johan Daisne;Johan Daisne (belgijski pisarz);Johan Daisne (Belgisch schrijver);Johan Daisne (belgisk fÃ¶rfattare);Johan Daisne (belgisk skribent);Johan Daisne (flÃ¤mischer Schriftsteller);Johan Daisne (Flemish author);NtÄsn, GiÅchan;Thiery, Herman;Thiery, Herman (Wirklicher Name);Thiery, Hermann;Thiery, Hermanus;	VIAF ID: 27226825 (W. de Clercq), ISNI: 0000000063017927 (W. de Clercq)	
Dam, P. van	0000000080948408	000000000DamPvan	Dam, P. van;Pieter van Dam	VIAF ID: 21164606 (F. Pinke), ISNI: 0000000080765644 (F. Pinke)	!!!
Damme, L.J. van	0000000073541589	0000000073541589	Damme, L.J.;Damme, L. J. van;Damme, Leon J. van;Damme, Leon van;Van Damme, L. J.;Van Damme, Leon J.;	VIAF ID: 5295055 (C.J.K. van Aalst), ISNI: 0000000397292945 (C.J.K. van Aalst)	
Damsma, D.	0000000061408254	000000000DamsmaD	Damsma, D.	VIAF ID: 71460605 (W.H. de Beaufort), ISNI: 0000000083445443 (W.H. de Beaufort)	!!!
Deursen, A.Th. van	0000000108644036	0000000108644036	Arie van Deursen;Arie van Deursen (Historian);Arie van Deursen (Nederlands schrijver);Beursen, Arie Theodorus van;Deursen, A.Th;Deursen, A. Th. van;Deursen, Arie;Deursen, Arie Th. van;Deursen, Arie Theodoor;Deursen, Arie Theodorus;Deursen, Arie Theodorus van;Deursen, Arie van;Deursen, Arien Theodorus van;Van Deursen, A. Th;Van Deursen, Arie Theodoor;Van Deursen, Arie Theodorus;	VIAF ID: 78889763 (E. Alting), ISNI: 0000000055068628 (E. Alting)	
Deyssel, L. van	000000012028212X	000000012028212X	Alberdingk Thijm, K.J.L.;Alberdingk Thijm, Karel J.;Alberdingk Thijm, Karel J.L.;Alberdingk Thijm, Karel Joan Lodewijk;Alberdingk Thym, Karel Joan Lodewijk;Deyssel, L. van;Deyssel, Lodewijk van;Deyssel, Lodewijk van de;Deyssel, Ludwig van;Dyessel, Lod. van;Karel Joan Lodewijk Alberdingk Thijm;Karel Joan Lodewijk Alberdingk Thijm (nederlÃ¤ndsk fÃ¶rfattare);Lodewijk van Deyssel;Lodewijk van Deyssel (Dutch writer);Lodewijk van Deyssel (Nederlands schrijver);Lodewijk van Deyssel (scrittore olandese);Thijm, Karel Alberdingk;Thijm, Karel J.;Thijm, Karel Joan Lodewijk Alberdingk;Thym, Karel Joan Lodewijk Alberdingk;Van Deyssel, Lodewijk;Van Deyssel, Lodewijk (p);ÐÐµÐ¹ÑÑÐµÐ», ÐÐ¾Ð´ÐµÐ²ÐµÐ¹Ðº Ð²Ð°Ð½;	VIAF ID: 8190603 (P.J.M. Aalberse), ISNI: 0000000022206078 (P.J.M. Aalberse)	
Dhanens, E.	0000000110230369	0000000110230369	Dhanens, E.;Dhanens, Elisabeth;Dhanens, Elisabeth (kunsthistorica);Elisabeth Dhanens;ããã³ã¹, ã¨ãªã¶ãã;	VIAF ID: 88684229 (Gisbert Cuper), ISNI: 0000000080703494 (Gisbert Cuper)	
Dierikx, M.L.J.	0000000114623573	0000000114623573	Dierikx, M.;Dierikx, M. L. J.;Dierikx, Marc;Dierikx, Marc L.;Dierikx, Marc L. J.;Dierikx, Marc Ludovicus Joseph;	VIAF ID: 61670323 (A.E. Kersten), ISNI: 0000000118844218 (A.E. Kersten)	!!!
Dijkhof, E.C.	0000000001404884	0000000001404884	Dijkhof, E.;Dijkhof, E. C.;Dijkhof, Eef;Dijkhof, Everardus C.;Dijkhof, Everardus Cornelis;		
Dillen, J.G. van	0000000108728061	0000000108728061	Dillen, J. G.;Dillen, J. G. van;Dillen, Johannes G. van;Dillen, Johannes Gerard;Dillen, Johannes GÃ©rard van;Johannes Gerard van Dillen (Dutch historian);Johannes Gerard van Dillen (Nederlands historicus (1883-1969));Van Dillen, J. G.;Van Dillen, Johannes Gerard;	VIAF ID: 17590735 (G. Brom), ISNI: 0000000083395909 (G. Brom)	
Dillo, M.	0000000028302298	0000000028302298	Dillo, M.;Dillo, Martien;	VIAF ID: 118212670 (G.W. Kernkamp), ISNI: 0000000081872775 (G.W. Kernkamp)	
Dooren, J.P. van	000000006131299X	00000DoorenJPvan	Dooren, J.P. van	VIAF ID: 389194 (J.A.F. Orbaan), ISNI: 0000000061220788 (J.A.F. Orbaan); VIAF ID: 39632681 (G.J. Hoogewerff), ISNI: 0000000061526461 (G.J. Hoogewerff)	!!!
Doornmalen, S.E.M. van	0000000368796415	0000000368796415	Doornmalen, S. E. M. van;Doornmalen, Sil van;Van Doornmalen, S. E. M.;	VIAF ID: 38363677 (J. Römelingh), ISNI: 0000000083430145 (J. Römelingh)	
Dorleijn, G.J.	0000000109266145	0000000109266145	Dorleijn, G. J.;Dorleijn, Gilles;Dorleijn, Gilles J.;Dorleijn, Gillis;Dorleijn, Gillis J.;Dorleijn, Gillis Jan;Dorleijn, Gillis Jan (hoogleraar moderne Nederlandse letterkunde);	VIAF ID: 188112600 ( F.J.M. van Otten), ISNI: 0000000398079011 (F.J.M. van Otten)	
Dorsman, L.J.	0000000078506686	0000000078506686	Dorsman, L. J.;Dorsman, Leen;Dorsman, Leen J.;Dorsman, Leen Jan;Dorsman, Leendert J.;Dorsman, Leendert Jan;	VIAF ID: 51870000 (M.J. van Gent), ISNI: 0000000053355156 (M.J. van Gent); VIAF ID: 6131697 (M.-C. Le Bailly), ISNI: 0000000055224408 (M.-C. Le Bailly)	
Drooglever, P.J.	0000000080772238	0000000080772238	Drooglever, P.;Drooglever, P. J.;Drooglever, Pieter;Drooglever, Pieter J.;Drooglever, Pieter Joost,;	VIAF ID: 32120264 (T. Thomassen), ISNI: 0000000035488123 (T. Thomassen)	
Drossaers, S.W.A.	0000000061302855	0000000061302855	Drossaers, S. W. A.;Drossaers, Sophie W. A.;Drossaers, Sophie Wilhelma Albertine;Drossaers, Sophie Wilhelmina Albertina;Drossaers, Sophie Wilhelmina Albertine;	VIAF ID: 2598099 (J. Roelevink), ISNI: 0000000061302599 (J. Roelevink)	
Drost, M.A.	0000000066313967	000000000DrostMA	Drost, M. A.;Drost, Mappie A.	VIAF ID: 44293717 (J.P. de Valk), ISNI: 0000000094740587 (J.P. de Valk)	!!!
DuVerger, J.	0000000119846629	0000000DuVergerJ	Duverger, J.;Duverger, Jos;Duverger, Josef;Duverger, Josef Aloïs Jan;Duverger, Joseph;Duverger, Jozef A.		!!!
Dufour-Briët, F.C.	0000000066489815	0000000066489815	BriÃ«t, F. C. Dufour-;Dufour-BriÃ«t, F.C.;Dufour-BriÃ«t, Fredriek;Dufour, Fredriek;	VIAF ID: 57868812 (A.C.M. Kappelhof), ISNI: 0000000021575613 (A.C.M. Kappelhof)	
Duijghuisen, M.	0000000398224792	0000000398224792	Duijghuisen, M.;Duijghuisen, M.J.M.;Duijghuisen, Marcel;	VIAF ID: 57868812 (A.C.M. Kappelhof), ISNI: 0000000021575613 (A.C.M. Kappelhof); VIAF ID: 284409601 (V. Kingma), ISNI: 0000000390730594 (V. Kingma)	
Duinkerken, B.	0000000027380200	0000000027380200	Duinkerken, B.;Duinkerken, Ben,;Duinkerken, Berend	VIAF ID: 290615504 (M. Schillings), ISNI: 0000000395799435 (M. Schillings); VIAF ID: 287650623 (H. Jordaan), ISNI: 0000000393388851 (H. Jordaan); VIAF ID: 197168227 (H.J.M. van Dapperen); VIAF ID: 85300412 (G.J. Knaap), ISNI: 0000000083434728 (G.J. Knaap)	
Dumon, A.	0000000396688892	0000000000DumonA	Dumon, A.; Prof. Dr. Ir. Amaat G. Dumon; Amaat Dumon; Prof. Ir. A. Dumon; Amaat Gustaaf Dumon	VIAF ID: 54515873 (H.A. Poelman), ISNI: 0000000066676936 (H.A. Poelman); VIAF ID: 113817157 (P.H. Winkelman), ISNI: 0000000079807181 (P.H. Winkelman)	?
Dunk, H.W. von der	000000011576524X	000000011576524X	Der Dunk, Hermann Walther von;Dunk, H. von der;Dunk, H. W. von der;Dunk, Herman von der;Dunk, Hermann von der;Dunk, Hermann W. von der;Dunk, Hermann Walter von der;Dunk, Hermann Walther;Dunk, Hermann Walther von der;Dunk, Hermann Walther von der (Auteur.);Hermann von der Dunk (Nederlands historicus);Hermann W. von der Dunk (niederlÃ¤ndischer Historiker);Hermann Walther Dunk (Dutch historian);Hermann Walther von der Dunk;Vo der Dunk, Hermann Walther;Von der Dunk, H.;Von der Dunk, H. W.;Von der Dunk, Hermann;Von der Dunk, Hermann Walther;	VIAF ID: 196868995 (W.S. Unger), ISNI: 0000000357213616 (W.S. Unger)	
Dunlop, H.	0000000061281871	000000000DunlopH	Dunlop, H.;Dunlop, Hendrik	VIAF ID: 61585947 (H.A. Enno van Gelder), ISNI: 0000000081405173 (H.A. Enno van Gelder)	
Duynstee, T.J.B.M.	0000000390309396	0000000390309396	Duynstee, T.J.B.M.;Duynstee, Thomas Jean Baptiste Marie;	VIAF ID: 2845493 (S.W.A. Drossaers), ISNI: 0000000061302855 (S.W.A. Drossaers); VIAF ID: 117283064 (Th.H. Lunsingh Scheurleer), ISNI: 0000000121487004 (Th.H. Lunsingh Scheurleer)	
Ebels-Hoving, B.	0000000080161066	0000000080161066	Bunna Ebels-Hoving;Bunna Ebels-Hoving (Dutch medievalist);Bunna Ebels-Hoving (Nederlands mediÃ«viste);Ebels, Bunna;Ebels-Hoving, B.;Ebels-Hoving, Bunna;Hoving, Bunna;Hoving, Bunna Ebels-;Hoving, Bunna Hebels;	VIAF ID: 266774776 (J.Th. Lindblad), ISNI: 0000000121432513 (J.Th. Lindblad)	
Eeghem, W. van	0000000077783833	0000000077783833	Eeghem, W. van;Eeghem, Willem;Eeghem, Willem Paul Theo Marie Van;Eeghem, Willem van;Van Eeghem, W.;Van Eeghem, Willem;		
Eekhoff, W.	0000000063979456	0000000063979456	Eekhoff, W.;Eekhoff, Wopke;W.E;Wopke Eekhoff;Wopke Eekhoff (19th century Frisian librarian);Wopke Eekhoff (Nederlands archivaris (1809-1880));	VIAF ID: 9925264 (W.P.C. Knuttel), ISNI: 0000000080889057 (W.P.C. Knuttel )	
Eerden-Vonk, M.A. van der	0000000066311291	0000000066311291	Der Eerden-Vonk, M. A. van;Der Eerden-Vonk, Ria van;Eerden-Vonk, M. A. van der;Eerden-Vonk, Maria A.;Eerden-Vonk, Ria van der;Eerden-Vonk van der, Ria;Van der Eerden-Vonk, M. A.;Van der Eerden-Vonk, Ria;Vonk, M. A. van der Eerden-;Vonk, Ria van der Eerden-;	VIAF ID: 104145542371196640034 (A.J. Jelsma), ISNI: 0000000081609344 (A.J. Jelsma); VIAF ID: 44587253 (O. Boersma), ISNI: 0000000066298883 (O. Boersma)	
Eerenbeemt, H. F. J. M. van den	0000000081109921	EerenbeemtHvande	Den Eerenbeemt, Harry van;Den Eerenbeemt, Hendrik Ferdinand Joseph Maria van;Eerenbeemt, H. F. J. M. van den;Eerenbeemt, H. F. van den;Eerenbeemt, Harry F. J. M. van den;Eerenbeemt, Harry van den;Eerenbeemt, Henricus F. J. M.;Eerenbeemt, Henricus Ferdinandus J. M. van den;Eerenbeemt, Henricus Ferdinandus Josephus Maria;Eerenbeemt, Henricus Ferdinandus Josephus Maria van den;Harry van den Eerenbeemt;Harry van den Eerenbeemt (Dutch historian);Harry van den Eerenbeemt (Nederlands hoogleraar en historicus-socioloog);Van den Eerenbeemt, H.F.J.M.;Van den Eerenbeemt, Harry;Van den Eerenbeemt, Hendrik Ferdinand Joseph Maria;Van den Eerenbeemt, Henricus Ferdinandus Josephus Maria	VIAF ID: 47696930 (P.C. Molhuysen), ISNI: 0000000110262969 (P.C. Molhuysen)	!!!
Eijl, C. J. van	000000010975291X	00000000EijlCvan	Eijl, C. J. van;Eijl, Cornelia Johanna;Eijl, Cornelia Johanna van;Eijl, Corrie van,;Van Eijl, Corrie;Corrie van Eijl	VIAF ID: 216892101 (J.G. Smit), ISNI: 0000000066308199 (J.G. Smit); VIAF ID: 94104323 (J.W.J. Burgers), ISNI: 0000000109264043 (J.W.J. Burgers); VIAF ID: 226765160 (E.T. van der Vlist), ISNI: 000000036275998X (E.T. van der Vlist)	!!!
Eijnatten, J. van	0000000109897975	000EijnattenJvan	Eijnatten, Joris van;Van Eijnatten, Joris	VIAF ID: 23417887 (J.P. van Dooren), ISNI: 0000000390765420 (J.P. van Dooren); VIAF ID: 2598099 (J. Roelevink), ISNI: 0000000061302599 (J. Roelevink); VIAF ID: 231126266 (J. Bouterse), ISNI: 0000000365650971 (J. Bouterse); VIAF ID: 34741787 (M. Kok), ISNI: 0000000038160756 (M. Kok); VIAF ID: 9366002 (J. van Gelderen), ISNI: 0000000079078169 (J. van Gelderen); VIAF ID: 241002810 (C. Ravensbergen), ISNI: 0000000370040860 (C. Ravensbergen); VIAF ID: 59182021 (P.H.A.M. Abels), ISNI: 0000000082432499 (P.H.A.M. Abels); VIAF ID: 282520641 (A.J. Verschoor), ISNI: 0000000418435299 (A.J. Verschoor); VIAF ID: 7486179 (A.Ph.F. Wouters), ISNI: 0000000001501115 (A.Ph.F. Wouters)	!!!
Eijnden, R. van	0000000081573492	0000000081573492	Eijnden, Roeland van;Eijnden, Roeland van den;Eynden, Roeland van;Eynden, Roeland van den;Roeland van Eynden;Roeland van Eynden (painter and writer from the Northern Netherlands);Van Eijnden, Roeland;Van Eynden, Roeland	VIAF ID: 27074538 (L. de Goud), ISNI: 0000000092219587 (L. de Gou)	
Ekkart, E.O.	0000000109170194	0000000109170194	Ekkart, R. E. O.;Ekkart, Rudi;Ekkart, Rudi E. O.;Ekkart, Rudolf;Ekkart, Rudolf E.;Ekkart, Rudolf E. O.;Ekkart, Rudolf Erik Otto;Ekkart, Rudolf Erik Otto (Vollstaendiger Name);Ekkart, Rudolf O. E.;Rudi Ekkart.	VIAF ID: 89614256 (Guillaume H.M. Posthumus Meyjes), ISNI: 0000000116835748 (Guillaume H.M. Posthumus Meyjes); VIAF ID: 97692834 (H. Bots), ISNI: 0000000110315485 (H. Bots)	
Elias, J.E.	0000000063143042	0000000063143042	Elias, J.E.	VIAF ID: 32283205 (M.A. van der Eerden-Vonk), ISNI: 0000000066311291 (M.A. van der Eerden-Vonk)	
