fullname	id	prev_id	alt_names		comment
Apeldoorn, L.J. van	0000000107777646	0000000107777646	Lambertus Johannes van Apeldoorn;L.J. van Apeldoorn;B. van Apeldoorn;Bert van Apeldoorn	VIAF ID: 66475528 (Thorbecke) =A 0000000081455912 =2 isni (Thorbecke) VIAF ID: 73981650 (Hooykaas) =A 0000000081540666 =2 isni (Hooykaas) VIAF ID: 66720263 (Santegoets) =A 0000000023576767 =2 isni (Santegoets) VIAF ID: 66232011 (Kooijmans) =A 0000000044648993 =2 isni (Kooijmans) VIAF ID: 47076864 (Swart) =A 0000000043983650 =2 isni (Swart) VIAF ID: 14783624 (Boogman) =A 0000000080934866 =2 isni (Boogman)	
Baerdt van Sminia, H.	0000000395401351	0000000395401351	Baart van Sminia, HobbeBaerdt van Sminia, HobbeH, A. vHobbe Baerdt fan SminiaSminia, Hobbe Baerdt van	VIAF ID: 54137609 (Falck) =A 0000000029271702 =2 isni (Falck) VIAF ID: 216217778 (Colenbrander) =A 0000000359153354 =2 isni (Colenbrander)	
Bakhuizen v.d. Brink, J.N.	0000000108813442	0000000108813442	Dr. J. N. Bakhuizen van den Brink;Bakhuizen van den Brink, J.N. (Jan Nicolaas);Bakhuizen van den Brink, J. N.;Bakhuizen van den Brink, Jan Nicolaas;Jan Nicolaas Bakhuizen van den Brink	VIAF ID: 13395208 (Cusance) =A 0000000079837217 =2 isni (Cusance) VIAF ID: 12442894 (Huygens) =A 0000000108708781 =2 isni (Huygens) VIAF ID: 126144782984545841392 (Huysman) =A 0000000385485141 =2 isni (Huysman) VIAF ID: 112974926 (Rasch) =A 0000000109368918 =2 isni (Rasch)	
Bakker, N.K.	0000000085449288	0000000085449288	Bakker, N. K.;Bakker, Nienke;Bakker, Nienke K.	VIAF ID: 76401424 (Bosch) =A 000000012102478X =2 isni (Bosch)	
Bank, J.H. van de	0000000067021835	0000000067021835	Bank, J. H. van deBank, Johannes HendrikusBank, Johannes Hendrikus van deVan de Bank, Johannes Hendrikus	VIAF ID: 281800175 (Oranje-Nassau, fam./geslacht) VIAF ID: 29589889 (Groen van Prinsterer) =A 0000000081083573 =2 isni (Groen van Prinsterer)	
Bank, J.Th.M.	0000000115786569	0000000115786569	Bank, J. T. M.Bank, J. Th. M.Bank, JanBank, Jan (historicus)Bank, Jan Th. M.Bank, Jan Theodoor MariaBank, Jan Theodoor Maria (historicus)Bank, Jan Theodor MariaBank, Jan Theodore M.Jan BankJan Bank (Dutch historian)Jan Bank (Nederlands journalist)	VIAF ID: 57673889 (Witsen); VIAF ID: 49275816 (Verwey); =A 0000000121319967 =2 isni (Verwey); VIAF ID: 94004977 (Kets); =A 0000000066425221 =2 isni (Kets)	
Becker, B.	0000000080890648	0000000080890648	Beccer, Bruno;Beccerus, Bruno;Becker, B.;Becker, Bruno;Becker, Bruno Borisovič;Becker, Bruno Oscar;Beckerus, Bruno;Bekker, Bruno Borisowitsj;Borisowitsj Bekker, Bruno;Bruno Becker	VIAF ID: 126144782984545841392 (Huysman) =A 0000000385485141 =2 isni (Huysman); VIAF ID: 27866540 (Anna van Egmond) =A 0000000395218944 =2 isni (Anna van Egmond); VIAF ID: 280633291 (Anna von Sachsen); VIAF ID: 70143396 (Charlotte de Bourbon) =A 0000000019886295 =2 isni (Charlotte de Bourbon) VIAF ID: 56654140 (Louise de Coligny) =A 0000000072469618 =2 isni (Louise de Coligny); VIAF ID: 290149760 (Henriette Amalia von Anhalt-Dessau) VIAF ID: 232442766 (Sophie Hedwig von Braunschweig-W.) VIAF ID: 60027133 (Albertine Agnes) =A 0000000014493521 =2 isni (Albertine Agnes) VIAF ID: 837905 (Amalia van Solms) =A 000000012117610X =2 isni (Amalia van Solms) VIAF ID: 55006628 (Mary Stuart I) =A 0000000054908365 =2 isni (Mary Stuart I) VIAF ID: 76375822 (Mary II Stuart) =A 0000000120964438 =2 isni (Mary II Stuart)	
Beekelaar, G.A.M.	000000003172714X	000000003172714X	Beekelaar, G. A. M.Beekelaar, GerhardBeekelaar, Gerhard Alfonsus MartinusBeekelaar, Hardy		
Beke, Joh. de	0000000108012207	0000000108012207	Beca, Joannes de;Beca, Johannes de;Becanus, Iohannes de;Becanus, Johann;Becanus, Johannes;Beka, Iohannis de;Beka, Johannes de;Beka, Johannes de (clericus);Beke, Jan;Beke, Jan van/der;Beke, Jehan de;Beke, Johann von de;Beke, Johannes;Beke, Johannes de;Beke, Johannes van der;Beke, Johannis de;Bromiardus, Johannes;Bromyard, John;Bromyarde, John de;Bromyardus, Johannes;Bronnerde, Philippus de;de Beka, Johannes;De Beke, Johannes;De Bromyarde, John;Iohannis (de Beka);Jan (van der Beke);Jean (de Beka);Jean (de Bromyard);Jehan (de Beke);Joannes (de Beka);Johannes (a Beka);Johannes (Becanus);Johannes (Bromiardus);Johannes (Canonicus);Johannes (Cromiardus);Johannes de Beca;Johannes (de Beka);Johannes (de Beke);Johannes (de Bromyard);Johannes (Traiectensis);Johannes (Ultraiectinus);Johannes (van der Beke);Johannes (von Bromyard);John (de Bromyarde);Philippe (de Bromyarde);Philippus (Bromiardus);Philippus (Cromiardus);Philippus (de Bronnerde)	VIAF ID: 261981977 (Willem van Oranje) VIAF ID: 244007385 (Kluiver) =A 0000000025262614 =2 isni (Kluiver) VIAF ID: 216892101 (Smit) =A 0000000066308199 =2 isni (Smit) VIAF ID: 79466830 (Vermaseren) =A 0000000061446744 =2 isni (Vermaseren)	
Bellaert, J.	0000000050000333	0000000050000333	Bellaert, Jacop	VIAF ID: 46755588 (Belle van Zuylen) VIAF ID: 29561421 (van Dijk) =A 0000000116136541 =2 isni (van Dijk) VIAF ID: 9941084 (van Strien) =A 0000000115932781 =2 isni (van Strien) VIAF ID: 56865227 (Schouten)	
